Image,Order No.,Order Date (dd-mm-yyyy),Client Name,University/ College Name,Client District,Client State,Client Pin Code,Book No.,Book Sr. No.,Book Date (dd-mm-yyyy),Product Name,Product Quantity,Product Unit,Unit Price (INR/Unit),Total amount (INR),Tax amount (INR),Delivery/Forwarding charges,Grand Total amount including Tax (INR),Dispatched through (Agency Name),Dispatch RR/ GR No.,Dispatch Date (dd-mm-yyyy),Date  of material receipt (dd-mm-yyyy),Autorised signatory from Standard Library Service
,-,-,The Principal,Banyan Tree School,-,New Delhi,110003,1,B/2,4/4/2013,"Book Cards- Size 2""*3"". Printed in side on Heavy wt. Card.",3000,Th.,285,855,,,,,,,,
,-,-,The Principal,Banyan Tree School,-,New Delhi,110003,1,B/2,4/4/2013,Due Date Slips - Printed one side on white paper Self Adhesive strips.,3000,Th.,700,2100,,,,,,,,
,-,-,The Principal,Banyan Tree School,-,New Delhi,110003,1,B/2,4/4/2013,Book Plates- Printed one side on white art paper. Self Adhesive,3000,Th.,680,2040,373.5,,7843.5,-,-,-,-,-
,BPIT/OP/3989/2013,11/3/2013,The Secretary,Bhagwan Parshuram Institute of Technology,-,Delhi,110089,1,B/3,10/4/2013,"Steel Book Supports- Made of heavy gauge steel sheet and powder coated in grey finish size - 9 1/2""*5"".",100 Nos.,Each,80,8000,,,,,,,,
,BPIT/OP/3989/2013,11/3/2013,The Secretary,Bhagwan Parshuram Institute of Technology,-,Delhi,110089,1,B/3,10/4/2013,"  -do-  -do- Size -  7 1/4""*5"".",100 Nos.,Each,70,7000,1875,400,17275,-,-,-,-,-
,-,12/4/2013,"The Library And Info, Officer,",Election Commission of India,-,New Delhi,110001,1,B/4,13-04-2013,Revoilving General Book Stand-Having 20 (wire) pockets. Suitable for display of App. 50 Books.,One,Each,8550,8550,1068.75,550,10168.75,-,-,-,-,
,S.L.Suri/JA/2013/7504,20-03-2013,The Principal,S.L.Suri DAV Public ( Sr. Sec) School,-,New Delhi,110058,1,B/5,25-04-2013,"Book Cards- Size 2""*3"". Printed in side on Heavy wt. blue Card stock.",2000,Th.,280,560,,,,,,,,
,S.L.Suri/JA/2013/7504,20-03-2013,The Principal,S.L.Suri DAV Public ( Sr. Sec) School,-,New Delhi,110058,1,B/5,25-04-2013,Insertion Slips - Printed one side on medium wt. White card.,3000,Th.,175,525,,,,,,,,
,S.L.Suri/JA/2013/7504,20-03-2013,The Principal,S.L.Suri DAV Public ( Sr. Sec) School,-,New Delhi,110058,1,B/5,25-04-2013,Book Plates- Printed one side on white art paper.,2000,Th.,300,600,84.25,-0.25,1769,-,-,-,-,
,-,-,"The Purchase Officer,",Holy Family Hospital,-,New Delhi,110025,1,B/6,30-04-2013,"Plastic Reader's Tickets- Size 2""*3"". Printed as per your sample. N.Blue Colour. With Printed slips.",5000,Each,4.5,22500,2812.5,,25312.5,-,-,-,-,
,-,-,The Chief Administrative Officer,P.D. Tandon Library,-,New Delhi,-,1,B/7,7/5/2013,"STEEL BOOK SUPPORTS- Made of heavy gauge steel sheets and powder coated in grey finish Size - 7 1/4""*5"".",150 Nos.,Each,65,9750,1218.75,-0.25,10969,-,-,-,-,
,3438,3/5/2013,"The Purchase Officer,",Holy Family Hospital,-,New Delhi,110025,1,B/8,9/5/2013,Book Pockets- (Plain) Small. Blue,5000,Th.,400,2000,,,,,,,,
,3438,3/5/2013,"The Purchase Officer,",Holy Family Hospital,-,New Delhi,110025,1,B/8,9/5/2013,"Book Cards- Size 2""*3"". Printed on side on heavy wt. Blue Card.",5000,Th.,200,1400,170,,3570,-,-,-,-,
,NIPFP/LIB/2013/3089,1/4/2013,The Sr. Library & Information Officer,National Institute of  Public Finance & Policy,-,New Delhi,67,1,B/9,10/5/2013,Book Selection Slips - Printed one side on azure ledger paper.,3000,Th.,350,1050,,,,,,,,
,NIPFP/LIB/2013/3089,1/4/2013,The Sr. Library & Information Officer,National Institute of  Public Finance & Policy,-,New Delhi,67,1,B/9,10/5/2013,Due Date Slips - Printed self Adhesive,3000,Th.,700,2100,,,,,,,,
,NIPFP/LIB/2013/3089,1/4/2013,The Sr. Library & Information Officer,National Institute of  Public Finance & Policy,-,New Delhi,67,1,B/9,10/5/2013,Book Pockets- Bag shaped. Printed self Adhesive.,3000,Th.,980,2940,,,,,,,,
